问题,关键字,相似问,答案
如何设置表格的行高和列宽,"行高,列宽,表格设置",怎样设置表格的行高和列宽|怎样设置表格行高和列宽|设置表格列宽|设置表格行高,"<font color=""orange"">**亲爱的同学好~**</font>
设置表格的行高和列宽，请参考文档：[如何设置行高/列宽](https://docs.corp.kuaishou.com/k/home/VSsNd0iwpGII/fcADJjD6KPnfQv2bfvjhq4pyu?ro=false)。"
劳动合同续签咨询哪里,劳动合同,合同续约|劳动合同续签 身份证上传入口页面在哪里,"<font color=""orange"">**亲爱的同学好~**</font>
关于劳动合同续签等问题可以联系 [HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 获取帮助。"
离职人员的日程会被释放吗,,求问离职同学定的会议室能不能帮忙转到在职同学的手里|已离职的员工组织的会议，怎么取消或者修改|离职同学预定的会议室添加我日程，最后他离职会议室会被释放么,"<font color=""orange"">**亲爱的同学好~**</font>
离职同学日程的转让逻辑：
同学离职当天的 0 点后的 24 小时后自动转让，参会人数小于 3 人的日程会直接释放，3 人及以上的日程会随机转让给参会人，随机转让给其他参会人不区分正式或外包。"
快流程操作手册,快流程,创建快流程怎么操作|关于配置快流程里Ln是怎么选择呢,"<font color=""orange"">**亲爱的同学好~**</font>
想了解快手流程中心可以查看[快手流程中心用户操作手册](https://docs.corp.kuaishou.com/d/home/fcAA35e6OjtufKNNKbfb1dkpB#section=h.qf4zqb5w22zq)。"
直播负向相关,负向,负向检索工具,"<font color=""orange"">**亲爱的同学好~**</font>
以下链接提供各维度负向问题咨询解答，包含各类机审处罚负向，以及各机审策略对接人引导等：[负向检索工具 ](https://admin.p.adm-corp.kuaishou.com/frontend/guard/index.html#/judge/info/search)，
若以上无法解决您的问题，可以Kim联系<@=username(sqaqwyh-xms)=>咨询。"
电脑卡顿怎么办,"卡顿,非常卡,电脑慢",电脑台卡了，可以找人看一哈吗|您好，我刚领的戴尔电脑使用过程感觉很卡，打开数据、看板都要花费很长时间，请问该联系哪个部门反馈一下|mac电脑很卡|电脑卡顿|电脑卡顿厉害|我的电脑卡顿,"<font color=""orange"">**亲爱的同学好~**</font>
辛苦同学按照如下步骤操作：
1、Mac 电脑卡顿：
（1）可能因为长期未进行关机、重启操作造成，辛苦同学先通过关机、重启操作尝试恢复；
（2）也可通过下载、安装 [Mac版电脑管家](https://lemon.qq.com)，使用软件内电脑清理功能进行系统清理；
2、Windows 电脑卡顿：
（1）可能因为长期未进行关机、重启操作造成，辛苦同学先通过关机、重启操作尝试恢复；
（2）可尝试通过下载、安装 [电脑管家](https://guanjia.qq.com)，使用软件内电脑清理功能进行系统清理；
（3）也可 [点击这里](https://docs.corp.kuaishou.com/k/home/VCNOz_pkvDSo/fcACfAAw2S5T79K86ytXMooiI) 清理浏览器缓存，确认是否恢复。"
如何查看Docs文档信息,"文档信息,访客信息,表格信息",在哪能看到doc文档的创建时间？|你好，想问下，目前有渠道可以看到文档的具体阅读人吗|为什么doc有的能看到字数 有的不能哈|如何查询docs的浏览量|如何查询文档/表格概况|如何查询访客信息|如何查询谁查看过doc|如何查询我的文档权限变更记录|如何查看我的文档被谁分享过,"<font color=""orange"">**亲爱的同学好~**</font>
点击在线文档、表格页面右上角的三个点「...」 - 点击文档、表格信息可以查看到文档、表格概况、访客统计、用户操作、权限变更信息；
点击在线演示 - 文件 - 文档信息，可以查看到访客统计、用户操作、权限变更信息。
**注意：**
仅支持在线文档、在线表格、在线演示查询这些信息，如果是上传成 PDF 无法查看哦。"
如何删除正在使用的文件,"删除文件,文件删除,使用中文件删除",文件删除总显示在使用中怎么办|我想把文件删了但是一删除就显示在使用中|删除文件的时候显示文件正使用|使用中的文件可以删除吗|删除文件|文件删除|正在使用的文件怎么删除,"<font color=""orange"">**亲爱的同学好~**</font>
删除正在使用中的文件请参考
[如何删除正在使用的文件](https://docs.corp.kuaishou.com/k/home/VQFalhSF8y6Q/fcAB6uG6fH05D-Ru8aBIhDMM-)"
通用积分怎么获得,通用积分,通用分,"<font color=""orange"">**亲爱的同学好~**</font>
关于通用积分相关的问题请点击 [HR 咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 进行咨询。"
KML 网址、帮助文档、对接群,KML,kml的存储挂载问题|kml镜像搬迁|kml oncall|kml平台链接|KML是什么|KML网址|KML对接人|KML使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
KML 的帮助文档可以参考 [KML 新手指引](https://docs.corp.kuaishou.com/k/home/VKicjL8RDO5k/fcACBy5F3yC9TtrZKourks6JK)；
KML 的地址是 [KML 平台](https://kml.corp.kuaishou.com/)；
KML 的相关问题可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671712045136070.png)"
费哲系统地址、对接人,费哲,费哲无法登录|我的费哲系统密码忘记了，我怎么找回呢,"<font color=""orange"">**亲爱的同学好~**</font>
费哲系统的地址请 [点击这里](https://xzsystem.corp.kuaishou.com/f1-space/web/index.html#/login)；
费哲系统的相关问题可以联系 <@=username(maqi)=>。"
流量券有效期,流量券,流量券多久有效期,"<font color=""orange"">**亲爱的同学好~**</font>
有效期不超过7天，流量券发放时需考虑用户的触达，提示用户尽快使用，才能更好的起到激励作用；长时效的券核销率较低，长期累积也会对流量有影响（特殊情况可申请白名单，联系<@=username(wanglumin)=>）。
同时，流量券的曝光优先级高于其他投放方式（8月14日之后，平均曝光率能达到80%+），因此时长和额度都有限，请注意安排好使用策略，用在重点用户/项目的奖励上，避免滥发。"
磁力罗盘问题对接人,磁力罗盘,磁力罗盘对接群|磁力罗盘的oncall|商家磁力罗盘财务里面的余额对不上,"<font color=""orange"">**亲爱的同学好~**</font>
磁力罗盘的地址请 [点击这里](https://luopan.e.kuaishou.com/login?redirectUrl=%2F)；
磁力罗盘的相关问题可以参考此文档 [磁力罗盘操作手册介绍](https://docs.qingque.cn/d/home/eZQDT3alFlalrT1F3nxCE9Oi7?identityId=1oE3Pe8xsIN)；
如有其他问题，可以扫码进群反馈咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671717403475086.png)"
mock消息没有发送,"mock,mock消息",mock消息发送,"<font color=""orange"">**亲爱的同学好~**</font>
可以加入mock用户群联系相关同学跟进处理哦：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657268441843.png)"
Windows版PDF查看器,"查看pdf,下载pdf",查看pdf的软件|pdf查看器下载连接|pdf查看器下载链接|pdf查看器下载|pdf查看器|查看PDF文档|下载PDF|PDF下载|PDF查看器|PDF软件下载,"<font color=""orange"">**亲爱的同学好~**</font>

Windows用户请访问[Windows版PDF查看器](https://www.sumatrapdfreader.org/free-pdf-reader)，进行下载、安装即可。"
如何申请docs权限,"文档权限,表格权限,docs权限,申请权限",知识库里面的文档怎么编辑呢？|docs文档 怎么帮助同学开通权限呀|请问个人 doc 如何设置访问权限|怎样才能申请文档权限|怎样申请表格权限|想申请表格权限|想申请文档权限|我要申请文档权限|如何申请表格权限,"<font color=""orange"">**亲爱的同学好~**</font>
入口一：点击右上方分享 - 申请权限 - 发送申请；
入口二：点击页面左上角的权限 - 找到对应权限 - 申请即可。"
为什么有预算还显示达到预算上限,预算上限,为什么显示预算搭到上限,"<font color=""orange"">**亲爱的同学好~**</font>
之前要下单的时候，计划预算因为其他订单预扣费导致余额不足。系统给了重试时间，这个时间点如有其他订单退费使得计划预算充足，则会下单该作品。"
如何查询绩效,"绩效,查绩效",绩效|查绩效|怎样查询绩效|想查询我的绩效|怎么查询自己的绩效|我的绩效怎么查|查看绩效|怎么查询绩效|怎么查询我的绩效|查询绩效,"<font color=""orange"">**亲爱的同学好~**</font>
请点击[HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)获取帮助~"
如何查询设备的相关信息,"入库,验收,电脑入库,电脑验收,回购时间,3年","资产购入时间|查询自己电脑的可回购时间|资产负责人|帮忙查询资产领用人|怎么看资产入库验收时间|我想知道我现在这台电脑的责任人是谁|实物扫码查询|您好，请问it那边能查到我这台电脑的领用人吗|没查到启用日期|如何查询设备的采购日期|帮忙查一下年限|如何查询可回购时间，二维码已不清晰|我的显示器是什么时候启用的|资产编号：1112202103400, SN号：20LJGC3，这台显示器登记满3年了吗|你好，辛苦查一下这个资产入库时间|资产启用时间|电脑使用人|帮我查询下我的资产出库时间|帮我查下我的显示器是否满三年|设备年限|你好，可以查固定资产归属人么|固定资产扫码|如何查询名下设备机龄|可以查一下我的名下设备的使用时间吗|如何查看显示器机龄|可以帮忙查一下显示器可回购时间吗|设备入库时间查询|如何从资产编号中看出是哪年哪月呢|怎么看还有多久可以","<font color=""orange"">**亲爱的同学好~**</font>
使用手机端打开 Kim - 应用 - 办公资产平台 - 设备查询 - 扫描资产标签上的二维码，可以查询到设备的资产编号、SN 号、资产状态、维修状态、启用日期(入库时间)、使用人、使用地点、**回购时间（入库时间后第四年的次月5号，例如入库时间是 2023年1月1月，回购时间就是 2027年2月5日)**。"
Docs 管理者看板功能如何使用,"看板功能,文档信息,管理者看板",可以看到文档的总字数吗|可以看到访问文档的总人数吗|可以看到访问docs文档的具体人员名单吗,"<font color=""orange"">**亲爱的同学好~**</font>
Docs 管理者看板功能如何使用，请查看帮助文档：[Docs管理者看板功能](https://docs.corp.kuaishou.com/k/home/VaeO7k885P6Y/fcAB7wnwmkkxVkF5fmyVwsqY8?ro=false#section=h.pj9gah8yufse)。"
Kim 如何设置备注名,"备注,备注名,kim备注",Kim怎么设置备注名|怎么添加备注名啊|备注名怎样添加|怎样给对方备注|怎么样添加备注名|怎么添加备注名|想添加备注名|如何给对方备注|如何添加备注名,"<font color=""orange"">**亲爱的同学好~**</font>
点击对方头像进入个人页，再点击备注名后面的画笔图标即可给对方添加备注名，对方在群聊中发言时将显示你设置的备注昵称哦~"
电脑锁屏快捷键,"锁屏键,如何锁屏,电脑锁屏",锁屏|Windows电脑如何锁屏|Windows电脑锁屏快捷键|mac笔记本如何锁屏|苹果笔记本如何锁屏|苹果笔记本锁屏快捷键|mac电脑锁屏快捷键|锁屏快捷键|电脑怎么快速锁屏|电脑锁屏|电脑如何锁屏|不会锁屏怎么办|电脑怎么锁屏|不会锁屏|怎么锁屏|锁屏怎么锁,"<font color=""orange"">**亲爱的同学好~**</font>

1、Windows电脑锁屏快捷键为：Windows+L组合键

2、Mac电脑锁屏快捷键为：Control+Command+Q组合键"
快手中学课程已完成必修学习但无法确认,,已完成必修学习但无法确认也无法考试是什么情况呢,"<font color=""orange"">**亲爱的同学好~**</font>

**移动端无确认已学选项，需用PC端进行确认**，请同学检查一下是否为PC端哦"
Windows系统如何添加账户,"Windows系统添加账户,添加账户,账户",在win系统下如何增加一个账户|在win系统下如何新增一个账户|在win系统下如何添加一个账户|怎么新加一个账户|如何新添加一个账户|如何在win系统下添加一个账户|如何在win系统下新增一个账户|如何在win系统下增加一个账户|新增账户|怎么能添加win系统账户|如何添加账户|添加账户|win系统添加账户,"<font color=""orange"">**亲爱的同学好~**</font>
Windows系统添加新账户请参考
[Windows系统如何添加账户](https://docs.corp.kuaishou.com/k/home/VSDcBtYFT85s/fcADfHmA-Xoadwp77J8OfUpro)"
为什么已经审批过的离职流程还在待处理列表中,离职待处理,已经审批过的离职流程在待处理列表中是什么原因呢,"<font color=""orange"">**亲爱的同学好~**</font>
当前节点审批完成之后，**如流程还需要往下走审批流**，就会显示在「待处理」列表中，需要下一位审批人审批。"
流量券会退款吗,流量券,关于优惠券没使用完的退费问题|流量券会退券吗,"<font color=""orange"">**亲爱的同学好~**</font>
1. 作者没有使用，过了有效期后，会退费，预算会原路退回到组织账户并属于发券时的预算周期；退费查询地址：[账户流水](https://flow.corp.kuaishou.com/#/flow/admin/bill-manage)。
（例如：8月1日发的券，有效期7日，没有使用会在8月9日退回，退回后的钱可以继续使用；7月30日发的券，有效期7天，没有使用会在8月6日会退回，但退回的是6-7预算周期，此预算也已过期不可使用）
2. 作者已经使用该券成功下单，但未消耗完，不退费也不退券；
（例如如1000元的券，但由于流量紧张等各种原因实际只消耗了600元，剩下的400元不会退）。
3. 作者使用该券给作品购买粉条，下单后由于作品负向等问题没有通过粉条审核，审核拒绝后会退券。"
已签署完成《社保风险缴纳告知书》，后续被撤销是为什么,,已签署完成《社保风险缴纳告知书》，后续被撤销是什么原因,"<font color=""orange"">**亲爱的同学好~**</font>

合同协议被撤销是**人为修改数据后影响电签文件变化，当不符合生成条件时会被撤销**"
群机器人的消息是否可以撤回,"撤回消息,撤回,群机器人",群机器能不能撤回消息|群机器人支持消息撤回嘛|群机器人可以撤回消息吗|群机器人能不能撤回消息|群机器人可不可以撤回消息|群机器人能不能撤回消息呢|群机器人能否撤回消息|机器人消息撤回,"<font color=""orange"">**亲爱的同学好~**</font>
群主可以撤回群机器人的消息哦，选中要撤回的消息，鼠标右键撤回即可~
"
元中心（健身房、干洗、理发店、健康小屋等）,"元中心健身房,元中心干洗,元中心理发店,元中心母婴室,元中心健康小屋",元中心健康小屋在哪|元中心药店|元中心开药|元中心按摩推拿|元中心母婴室在哪|元中心预约理发|元中心健身房在哪,"<font color=""orange"">**亲爱的同学好~**</font>
元中心职场配套设施相关问题（健身房、干洗、理发店、健康小屋等）请参考[此文档](https://kim-message.corp.kuaishou.com/message/71105)，
其他方面问题（班车、便利店、食堂、咖啡机、停车场等）请参考[此文档](https://kim-message.corp.kuaishou.com/message/71115)，
更多问题请联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-18911744--D0jokLjYJ9---8cQz7-kQ9g3Jw-kssso)。"
怎么开通极速退款,极速退款,想要极速退款,"<font color=""orange"">**亲爱的同学好~**</font>
开通极速退款流程如下?：
PC端-售后管理-售后工作台-售后助手-「极速退款」勾选开通。"
Sentry 的对接群,sentry,sentry的oncall群|sentry的问题如何反馈|sentry无法登录,"<font color=""orange"">**亲爱的同学好~**</font>
Sentry 的相关问题可以参考此文档 [Sentry 介绍](https://halo.corp.kuaishou.com/help/docs/7176f9f1e20e3bd35ecd816639a7e772)，
如有任何问题，可以联系 <@=username(kmon-oncall)=>，
如果无法解决您的问题，可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671704185605347.png)"
关于 8月9日 北京地区错峰上班的通知,"暴雨,居家,居家办公,下班",北京能居家办公么|有居家办公的通知么,"<font color=""orange"">**亲爱的同学好~**</font>
根据海淀区气象台 8月9日至8月10日北京市海淀区有明显降水，局地强降水
\
为保障同学们的出行安全，京区 2024年8月9日（周五）同学们可根据工作安排，**错开雨量高峰时段下班**；我们会持续关注并根据恶劣天气的变化情况，及时调整后续应对措施并第一时间通知大家。
\
近期雨水较多，请同学们随身携带办公电脑及必要的办公用品，以备不时之需。请同学们时刻关注天气变化，减少前往危险区域，关好门窗，切断有危险的室外电源，确保自身安全；
\
关于京区暴雨的 IT 服务可以参考此文档 [暴雨 IT 服务指南](https://docs.corp.kuaishou.com/d/home/fcABFqHIWUU_rCSZz3cUpDgRf)；
\
如果有其他相关问题，可以联系 [HR 咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 了解更多；
外包同学请联系各外包对接人。"
快手内部直播的网址、对接人,内部直播,内部直播大量刷弹幕直播间卡顿|内部直播是哪个部门开发的|内部直播大量刷弹幕卡顿|内部直播间刷弹幕出现卡顿|快手内部直播网址|快手内部直播对接人|快手内部直播运维|发起快手内部直播对接人,"<font color=""orange"">**亲爱的同学好~**</font>
快手内部直播的地址请[点击这里](https://live.corp.kuaishou.com/web/live/dashboard)；
快手内部直播的相关对接人：产品是<@=username(shikuo)=>；运维是<@=username(wanghuazhen)=>；需要发起快手内部直播可以联系<@=username(wanghuazhen)=>；
其他问题可以扫码进群咨询：
![7.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/372e706e671695286694924.png)"
如何备份邮件,"导出邮件,导入邮件,备份邮件",window如何备份邮件|Mac如何备份邮件|window怎么备份邮件|Mac怎么备份邮件|如何导入邮件|我想备份一下我的邮箱怎么操作呢|邮件如何备份|邮件可以备份吗|邮件备份|邮箱怎么备份呀|怎样备份邮件|怎么备份邮件啊|怎么备份邮件|如何转移邮件|如何导出邮件,"您可以参考
Mac：[ Outlook 如何导出和导入本地邮件](https://docs.corp.kuaishou.com/k/home/VX97Teq18T6g/fcACa2nQwD6etTGTRmOb7CzNO)

Windows：[ Outlook 如何导出和导入本地邮件](https://docs.corp.kuaishou.com/k/home/VUDJDg87gIZE/fcACuS20dn2wSqAky48CPZOjP)

希望可以帮到您，如未解决您的问题，请回复「666」召唤人工客服"
Docs 文档、表格如何添加到标签,,我正在看的doc. 怎么可以直接加到这标签里,"<font color=""orange"">**亲爱的同学好~**</font>
目前 Docs 在线文档、在线表格可以通过以下两种方式添加到标签中：
第一种：在 Docs 主页面侧边栏点击「标签」旁边的「+」创建标签，进入标签界面后可以添加文件：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671706777739659.png)
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671706777748815.png)
第二种：在线文档、在线表格的标题旁边，点击标签图标，可以将这个文档或表格添加到标签中：
![3.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/332e706e671706777802385.png)"
如何变更工卡照片,"工卡,工卡照片,照片变更",怎么改工卡照片|工卡照片变更流程|座右铭可以更换吗,"<font color=""orange"">**亲爱的同学好~**</font>

**工卡照片变更流程?**：[工卡补办](https://bpm.corp.kuaishou.com/ks-bpm/#/form/employeeCardReplacement/create?entry=newPortal)"
跳转刷脸页面时提示无权限,"跳转刷脸,刷脸无权限",刷脸提示无权限|人脸验证无权限,"<font color=""orange"">**亲爱的同学好~**</font>
由于系统会对当前页面进行种cookie操作，如果cookie没有种植成功，将会出现权限问题。因此业务方如果发现跳转刷脸页面是出现没有权限的问题。请查看系统是否禁用了cookie，或者对cookie有什么别的操作。
例：![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671660813383963.png)
answer：h5人脸录像提示无权限访问该页面原因如下：
如果cookie中没有orderNo，就会显示无权访问该页面。可能是没有正确调用登录接口导致cookie中没有orderNo，也可能是禁用了cookie，建议检查下cookie里是否有订单号或者是否禁用了cookie。
ios 微信刷脸在内存不够的情况下会出现丢失cookie的情况，建议重启手机试试或对现有浏览器做设置，关闭cookie禁用/更换浏览器。"
为什么会显示系统终止投放,系统终止投放,系统终止投放,"<font color=""orange"">**亲爱的同学好~**</font>
24小时的订单，投放在6小时内实际曝光不足下单曝光0.5%的订单（即投1000个曝光，6小时实际曝光不足5个），将会被认为是无效订单，系统会自动停投并希望投放人进行优化。投放人可以在投放系统中自助查询到状态为”系统终止“。（12小时的订单判断节点是3小时，6小时的订单判断节点是2小时）"
如何更换显示器,"4K,4K MAXHUB显示器",申请更换设备，提示不符合规则|我想问下为什么我的显示器更换不能提交|外包可以更换正在借用中的显示器吗|查询是否可以更换显示|可以先归还，再申请吗|名下显示器使用超过三年，可否申请4k是示器|已经有显示器了如何领取4k|如何更换2K显示屏|如何更换2K显示器|如何更换4K显示器|如何更换4K显示屏,"<font color=""orange"">**亲爱的同学好~**</font>
目前公司资产管理规定，显示器更换规则如下：
**4K MAXHUB 显示器：**
当前正式员工名下显示器入库时间满三年，才可以申请更换 4K 显示器（入库时间可以使用移动端 Kim 应用 - 办公资产平台 - 设备查询 扫描显示器上的银色资产标签二维码进行查询）；
更换显示器请点击 Kim - 应用 - 办公资产平台 - [设备更换](https://asset.corp.kuaishou.com/material/web/my/replace) 进行更换；
\
**2K 显示器：**
申请下来后不可更换，发放的是几寸的就是几寸的，建议同学正常使用；
**如果设备疑似故障问题需要 IT 检测的，先提交以下报修流程：**
- Kim 依次点击：Kim 应用 - 办公资产平台 - 资产报修或直接 [点击这里](https://asset.corp.kuaishou.com/material/web/my/repair) 报修；
- 并携带设备到 [**IT服务台**](https://docs.corp.kuaishou.com/s/home/fcABC2q8nwsNMZm-DpRM4ESvu) 进行检测报修，可按需领取备机。"
如何注销电签企业认证,"企业认证,注销企业认证",注销电签,"<font color=""orange"">**亲爱的同学好~**</font>
同学可以参考下这个文档 Q16：[电签合同宝典](https://docs.corp.kuaishou.com/d/home/fcAAhbfHuU7SAmLhPNJUdE3pR#section=h.7ygfbv8u7m36)。"
Docs文档如何生成二维码,"分享文档,文档二维码,生成二维码,docs二维码",DOC文档怎么转化成二维码|docs 生成二维码,"<font color=""orange"">**亲爱的同学好~**</font>
Docs 文档如何生成二维码，请查看帮助文档：[Docs文档生成二维码方法](https://docs.corp.kuaishou.com/k/home/VTphHG2I3Tx8/fcABWxID8Cmp1POKo945t9fDp?ro=false#section=h.pj9gah8yufse)。"
怎么查看个人一周工作小结,"工作小结,周总结",怎么看一周的工作小结|我的一周工作小结|查看自已一周工作小结|查看自己一周工作小结|查看我一周工作小结|看不到 Kim 每周总结|每周小结,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 应用搜索「每周小结」，就可以查看自己一周工作小结啦。"
